
Status, des, Testnetzes,,,           March,,,   2024,
,,Testraum 3.1,,,Testraum 3.2,,,,

Datum,, juri-HP-Laptop-15s-eq1xxx.fritz.box, JuriHandy.fritz.box, PANASONIC-TV.fritz.box, fritz.box,
Sun, 03.01.24,on,on,off,off,
Sun, 03.01.24,on,on,off,off,
Sun, 03.03.24,on,on,off,on,
Sun, 03.03.24,on,on,off,off,
Sun, 03.03.24,on,on,off,off,
Sun, 03.03.24,on,on,off,off,
Sun, 03.03.24,on,on,off,on,
Sun, 03.03.24,on,on,off,off,
Sun, 03.03.24,on,on,off,off,
Sun, 03.03.24,on,off,off,on,
Sun, 03.03.24,on,on,off,off,
Sun, 03.03.24,on,on,off,on,
Sun, 03.03.24,on,on,off,off,
Sun, 03.03.24,on,off,off,off,
Sun, 03.03.24,on,on,off,off,
Sun, 03.03.24,on,on,off,on,
Sun, 03.03.24,on,on,off,off,
Sun, 03.03.24,on,on,off,on,
Sun, 03.03.24,on,off,off,off,
Sun, 03.03.24,on,on,off,off,
Sun, 03.03.24,on,off,off,off,
Sun, 03.03.24,on,on,off,off,
Sun, 03.03.24,on,off,off,on,
Sun, 03.03.24,on,on,off,off,
Sun, 03.03.24,on,on,off,off,
